"datasetId","measurementId","measurementType","referencingId","sourceDoi","sourceId","timeRelative","timeUnit","timeAbsolute","parameter","inheritId","parameterDescription","parameterDataType","parameterText","parameterStatistics","parameterNumeric","parameterNumericOperator","parameterUnit","parameterUncertaintyType","parameterUncertaintyLower","parameterUncertaintyUpper","parameterUncertaintyUnit","ownerGroup","protocolId","instrumentId","X","X.1"
"10.1016/j.toxlet.2008.07.020",199,"Material",189,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","single-walled carbon nanotube","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",200,"Instance",98,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",201,"Property",209,"",NA,NA,"",NA,"Slice",NA,"Reported by Experimenter","Numeric","","mean","0.0056","=","dimensionless","standard deviation","0.0049","0.0063","dimensionless","[]","[""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",202,"Property",209,"",NA,NA,"",NA,"Damage",NA,"Reported by Experimenter","Text","Some inflammatory cells are observed surrounding the trapped single-walled carbon nanotube in lung ","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",203,"Supplementary",202,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","Light Microscope Figure 5g","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",204,"Property",203,"",NA,NA,"",NA,"File system",NA,"Reported by Experimenter","Text","fs://image/10.1016/j.toxlet.2008.07.020_figure_5.jpeg ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",205,"Property",203,"",NA,NA,"",NA,"File type",NA,"Reported by Experimenter","Text","jpeg","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",206,"Property",209,"",NA,NA,"",NA,"Apoptosis",NA,"Reported by Experimenter","Text","little apoptosis occurred. ","","","","","","","","","[]","[""10028""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",207,"Property",209,"",NA,NA,"",NA,"Glutathione",NA,"Reported by Experimenter","Numeric","","mean","60","=","milligram per gram","standard deviation","","63","milligram per gram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",208,"Property",209,"",NA,NA,"",NA,"Malonaldehyde",NA,"Reported by Experimenter","Numeric","","mean","10","=","nanomole per milligram","standard deviation","","11","nanomole per milligram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",209,"Medium",200,"",NA,NA,"",NA,"Organ",NA,"Reported by Experimenter","Text","Lung","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",210,"Material",200,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","single-walled carbon nanotube","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",211,"Instance",98,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",212,"Property",220,"",NA,NA,"",NA,"Slice",NA,"Reported by Experimenter","Numeric","","mean","0.0043","=","dimensionless","standard deviation","0.0035","0.0051","dimensionless","[]","[""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",213,"Property",220,"",NA,NA,"",NA,"Damage",NA,"Reported by Experimenter","Text","There is no histopathological change in spleen ","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",214,"Supplementary",213,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","Light Microscope Figure 5c","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",215,"Property",214,"",NA,NA,"",NA,"File system",NA,"Reported by Experimenter","Text","fs://image/10.1016/j.toxlet.2008.07.020_figure_5.jpeg ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",216,"Property",214,"",NA,NA,"",NA,"File type",NA,"Reported by Experimenter","Text","jpeg","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",217,"Property",220,"",NA,NA,"",NA,"Apoptosis",NA,"Reported by Experimenter","Text","little apoptosis occurred. ","","","","","","","","","[]","[""10028""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",218,"Property",220,"",NA,NA,"",NA,"Glutathione",NA,"Reported by Experimenter","Numeric","","mean","60","=","milligram per gram","standard deviation","","70","milligram per gram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",219,"Property",220,"",NA,NA,"",NA,"Malonaldehyde",NA,"Reported by Experimenter","Numeric","","mean","15","=","nanomole per milligram","standard deviation","","17","nanomole per milligram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",220,"Medium",211,"",NA,NA,"",NA,"Organ",NA,"Reported by Experimenter","Text","Spleen","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",221,"Material",211,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","single-walled carbon nanotube","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",222,"Instance",109,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",223,"Property",233,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Text","weak, G-band is observed, suggesting there are still a few of single-walled carbon nanotube at 90 days post-exposure. ","","","","","","","","","[]","[""10023""]","[""10019""]",NA,NA
"10.1016/j.toxlet.2008.07.020",224,"Property",233,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","characteristic structures of single-walled carbon nanotube could be clearly identified in the digested liver and lung samples. The intact nan- otube structures observed in TEM images indicate that single-walled carbon nanotube are stable against the biotransPhysical Stateation during the 90 days exposure as well as the subsequent chemical digestion process. ","","","","","","","","","[]","[""10024""]","[""10016""]",NA,NA
"10.1016/j.toxlet.2008.07.020",225,"Property",233,"",NA,NA,"",NA,"Slice",NA,"Reported by Experimenter","Numeric","","mean","0.049","=","dimensionless","standard deviation","0.044","0.054","dimensionless","[]","[""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",226,"Property",233,"",NA,NA,"",NA,"Damage",NA,"Reported by Experimenter","Text","No obvious hepatic damage is observed in the histopathological study among all the exposed groups, ","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",227,"Supplementary",226,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","Light Microscope Figure 5d","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",228,"Property",227,"",NA,NA,"",NA,"File system",NA,"Reported by Experimenter","Text","fs://image/10.1016/j.toxlet.2008.07.020_figure_5.jpeg ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",229,"Property",227,"",NA,NA,"",NA,"File type",NA,"Reported by Experimenter","Text","jpeg","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",230,"Property",233,"",NA,NA,"",NA,"Apoptosis",NA,"Reported by Experimenter","Text","little apoptosis occurred. ","","","","","","","","","[]","[""10028""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",231,"Property",233,"",NA,NA,"",NA,"Glutathione",NA,"Reported by Experimenter","Numeric","","mean","70","=","milligram per gram","standard deviation","","80","milligram per gram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",232,"Property",233,"",NA,NA,"",NA,"Malonaldehyde",NA,"Reported by Experimenter","Numeric","","mean","31","=","nanomole per milligram","standard deviation","","35","nanomole per milligram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",233,"Medium",222,"",NA,NA,"",NA,"Organ",NA,"Reported by Experimenter","Text","Liver","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",234,"Material",222,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","single-walled carbon nanotube","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",235,"Instance",109,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",236,"Property",246,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Text","the Raman intensity is still pretty high, which refers to the high concentration of single-walled carbon nanotube in lung ","","","","","","","","","[]","[""10023""]","[""10019""]",NA,NA
"10.1016/j.toxlet.2008.07.020",237,"Property",246,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","characteristic structures of single-walled carbon nanotube could be clearly identified in the digested liver and lung samples. The intact nan- otube structures observed in TEM images indicate that single-walled carbon nanotube are stable against the biotransPhysical Stateation during the 90 days exposure as well as the subsequent chemical digestion process. ","","","","","","","","","[]","[""10024""]","[""10016""]",NA,NA
"10.1016/j.toxlet.2008.07.020",238,"Property",246,"",NA,NA,"",NA,"Slice",NA,"Reported by Experimenter","Numeric","","mean","0.0064","=","dimensionless","standard deviation","0.0058","0.007","dimensionless","[]","[""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",239,"Property",246,"",NA,NA,"",NA,"Damage",NA,"Reported by Experimenter","Text","the inflammation becomes more serious and inflammatory cell infiltration is observed. ","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",240,"Supplementary",239,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","Light Microscope Figure 5h","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",241,"Property",240,"",NA,NA,"",NA,"File system",NA,"Reported by Experimenter","Text","fs://image/10.1016/j.toxlet.2008.07.020_figure_5.jpeg ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",242,"Property",240,"",NA,NA,"",NA,"File type",NA,"Reported by Experimenter","Text","jpeg","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",243,"Property",246,"",NA,NA,"",NA,"Apoptosis",NA,"Reported by Experimenter","Text","little apoptosis occurred. ","","","","","","","","","[]","[""10028""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",244,"Property",246,"",NA,NA,"",NA,"Glutathione",NA,"Reported by Experimenter","Numeric","","mean","55","=","milligram per gram","standard deviation","","60","milligram per gram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",245,"Property",246,"",NA,NA,"",NA,"Malonaldehyde",NA,"Reported by Experimenter","Numeric","","mean","14","=","nanomole per milligram","standard deviation","","16","nanomole per milligram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",246,"Medium",235,"",NA,NA,"",NA,"Organ",NA,"Reported by Experimenter","Text","Lung","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",247,"Material",235,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","single-walled carbon nanotube","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",248,"Instance",109,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",249,"Property",258,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Text","weak, G-band is observed, suggesting there are still a few of single-walled carbon nanotube at 90 days post-exposure. ","","","","","","","","","[]","[""10023""]","[""10019""]",NA,NA
"10.1016/j.toxlet.2008.07.020",250,"Property",258,"",NA,NA,"",NA,"Slice",NA,"Reported by Experimenter","Numeric","","mean","0.0033","=","dimensionless","standard deviation","0.0028","0.0038","dimensionless","[]","[""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",251,"Property",258,"",NA,NA,"",NA,"Damage",NA,"Reported by Experimenter","Text","There is no histopathological change in spleen ","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",252,"Supplementary",251,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","Light Microscope Figure 5L","","","","","","","","","[]","[""10026""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",253,"Property",252,"",NA,NA,"",NA,"File system",NA,"Reported by Experimenter","Text","fs://image/10.1016/j.toxlet.2008.07.020_figure_5.jpeg ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",254,"Property",252,"",NA,NA,"",NA,"File type",NA,"Reported by Experimenter","Text","jpeg","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",255,"Property",258,"",NA,NA,"",NA,"Apoptosis",NA,"Reported by Experimenter","Text","little apoptosis occurred. ","","","","","","","","","[]","[""10028""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",256,"Property",258,"",NA,NA,"",NA,"Glutathione",NA,"Reported by Experimenter","Numeric","","mean","57","=","milligram per gram","standard deviation","","62","milligram per gram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",257,"Property",258,"",NA,NA,"",NA,"Malonaldehyde",NA,"Reported by Experimenter","Numeric","","mean","18","=","nanomole per milligram","standard deviation","","21","nanomole per milligram","[]","[""10029"",""10030""]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",258,"Medium",248,"",NA,NA,"",NA,"Organ",NA,"Reported by Experimenter","Text","Spleen","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2008.07.020",259,"Material",248,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","single-walled carbon nanotube","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",11,"Property",2,"",NA,NA,"",NA,"elemental Impurity",NA,"Reported by Experimenter","Numeric","","","0.86","=","percent","","","","","[]","[]","[""10020""]",NA,NA
"10.1016/j.carbon.2007.03.035",12,"Property",2,"",NA,NA,"",NA,"elemental Impurity",NA,"Reported by Experimenter","Numeric","","","0.06","=","percent","","","","","[]","[]","[""10020""]",NA,NA
"10.1016/j.carbon.2007.03.035",13,"Property",2,"",NA,NA,"",NA,"elemental Impurity",NA,"Reported by Experimenter","Numeric","","","0.04","=","percent","","","","","[]","[]","[""10020""]",NA,NA
"10.1016/j.carbon.2007.03.035",14,"Instance",1,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",15,"Material",14,"",NA,NA,"",NA,"core component",NA,"Made my Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",17,"Property",15,"",NA,NA,"",NA,"Surface chemistry",NA,"Made my Experimenter","Text","taurine","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",18,"Property",15,"",NA,NA,"",NA,"Sulfonic acid ",NA,"Reported by Experimenter","Numeric","","mean","1121","=","per centimeter","range","1043","1200","per centimeter","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",19,"Property",15,"",NA,NA,"",NA,"Taurine",NA,"Reported by Experimenter","Text","XPS result of multi-walled carbon nanotube illustrates the existence of taurine sulfur and nitrogen atoms in the multi-walled carbon nanotube ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",20,"Property",15,"",NA,NA,"",NA,"Structure",NA,"Reported by Experimenter","Text","skeleton structure of multi-walled carbon nanotube remains intact after functionalization ","","","","","","","","","[]","[]","[""10016""]",NA,NA
"10.1016/j.carbon.2007.03.035",21,"Property",15,"",NA,NA,"",NA,"Length",NA,"Reported by Experimenter","Numeric","","mean","305","=","nanometer","range","10","600","nanometer","[]","[]","[""10016""]",NA,NA
"10.1016/j.carbon.2007.03.035",22,"Instance",1,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",23,"Material",22,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",25,"Property",23,"",NA,NA,"",NA,"Surface chemistry",NA,"Made by Experimenter","Text","14C","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",26,"Instance",14,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",27,"Property",29,"",NA,NA,"",NA,"Specific activity",NA,"Reported by Experimenter","Numeric","","","2700","=","count per minute","","","","","[]","[]","[""10024""]",NA,NA
"10.1016/j.carbon.2007.03.035",28,"Medium",26,"",NA,NA,"",NA,"Exposure Medium",NA,"Reported by Experimenter","Text","aqueous solution","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",29,"Material",26,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",31,"Property",29,"",NA,NA,"",NA,"Surface chemistry",NA,"Made by Experimenter","Text","taurine","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",32,"Instance",22,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",33,"Property",35,"",NA,NA,"",NA,"Specific activity",NA,"Reported by Experimenter","Numeric","","","2700","=","count per minute","","","","","[]","[]","[""10024""]",NA,NA
"10.1016/j.carbon.2007.03.035",34,"Medium",32,"",NA,NA,"",NA,"Exposure Medium",NA,"Reported by Experimenter","Text","aqueous solution","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",35,"Material",32,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",36,"Property",35,"",NA,NA,"",NA,"Surface chemistry",NA,"Made by Experimenter","Text","14C","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",38,"Instance",26,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",39,"Medium",38,"",NA,NA,"",NA,"Class",NA,"Reported by Experimenter","Text","Mammal","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",40,"Property",39,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In Vivo","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",41,"Property",39,"",NA,NA,"",NA,"Latin name",NA,"Reported by Experimenter","Text","Mus Musculus","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",42,"Property",39,"",NA,NA,"",NA,"Sex",NA,"Reported by Experimenter","Text","male","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",43,"Property",39,"",NA,NA,"",NA,"Body weight",NA,"Reported by Experimenter","Numeric","","","25","=","gram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",44,"Property",39,"",NA,NA,"",NA,"Strain",NA,"Reported by Experimenter","Text","Kunming","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",45,"Property",39,"",NA,NA,"",NA,"Number",NA,"Reported by Experimenter","Numeric","","","5","=","dimensionless","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",46,"Material",38,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",47,"Property",46,"",NA,NA,"",NA,"Surface chemistry",NA,"Made by Experimenter","Text","taurine","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",49,"Property",39,"",NA,NA,"",NA,"Dose",NA,"Reported by Experimenter","Numeric","","","0","=","microgram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",50,"Property",39,"",NA,NA,"",NA,"Exposure route of administration",NA,"Reported by Experimenter","Text","Intravenous","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",51,"Instance",26,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",52,"Medium",51,"",NA,NA,"",NA,"Class",NA,"Reported by Experimenter","Text","Mammal","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",53,"Property",52,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In Vivo","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",54,"Property",52,"",NA,NA,"",NA,"Latin name",NA,"Reported by Experimenter","Text","Mus Musculus","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",55,"Property",52,"",NA,NA,"",NA,"Sex",NA,"Reported by Experimenter","Text","male","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",56,"Property",52,"",NA,NA,"",NA,"Body weight",NA,"Reported by Experimenter","Numeric","","","25","=","gram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",57,"Property",52,"",NA,NA,"",NA,"Strain",NA,"Reported by Experimenter","Text","Kunming","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",58,"Property",52,"",NA,NA,"",NA,"Number",NA,"Reported by Experimenter","Numeric","","","5","=","dimensionless","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",59,"Material",51,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",60,"Property",59,"",NA,NA,"",NA,"Surface chemistry",NA,"Made by Experimenter","Text","taurine","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",62,"Property",52,"",NA,NA,"",NA,"Dose",NA,"Reported by Experimenter","Numeric","","","1","=","microgram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",63,"Property",52,"",NA,NA,"",NA,"Exposure route of administration",NA,"Reported by Experimenter","Text","Intravenous","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",64,"Instance",26,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",65,"Medium",64,"",NA,NA,"",NA,"Class",NA,"Reported by Experimenter","Text","Mammal","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",66,"Property",65,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In Vivo","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",67,"Property",65,"",NA,NA,"",NA,"Latin name",NA,"Reported by Experimenter","Text","Mus Musculus","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",68,"Property",65,"",NA,NA,"",NA,"Sex",NA,"Reported by Experimenter","Text","male","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",69,"Property",65,"",NA,NA,"",NA,"Body weight",NA,"Reported by Experimenter","Numeric","","","25","=","gram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",70,"Property",65,"",NA,NA,"",NA,"Strain",NA,"Reported by Experimenter","Text","Kunming","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",71,"Property",65,"",NA,NA,"",NA,"Number",NA,"Reported by Experimenter","Numeric","","","5","=","dimensionless","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",72,"Material",64,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",73,"Property",72,"",NA,NA,"",NA,"Surface chemistry",NA,"Made by Experimenter","Text","taurine","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",75,"Property",65,"",NA,NA,"",NA,"Dose",NA,"Reported by Experimenter","Numeric","","","10","=","microgram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",76,"Property",65,"",NA,NA,"",NA,"Exposure route of administration",NA,"Reported by Experimenter","Text","Intravenous","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",77,"Instance",26,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",78,"Medium",77,"",NA,NA,"",NA,"Class",NA,"Reported by Experimenter","Text","Mammal","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",79,"Property",78,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In Vivo","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",80,"Property",78,"",NA,NA,"",NA,"Latin name",NA,"Reported by Experimenter","Text","Mus Musculus","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",81,"Property",78,"",NA,NA,"",NA,"Sex",NA,"Reported by Experimenter","Text","male","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",82,"Property",78,"",NA,NA,"",NA,"Body weight",NA,"Reported by Experimenter","Numeric","","","25","=","gram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",83,"Property",78,"",NA,NA,"",NA,"Strain",NA,"Reported by Experimenter","Text","Kunming","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",84,"Property",78,"",NA,NA,"",NA,"Number",NA,"Reported by Experimenter","Numeric","","","5","=","dimensionless","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",85,"Material",77,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","multi-walled carbon nanotube","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",86,"Property",85,"",NA,NA,"",NA,"Surface chemistry",NA,"Reported by Experimenter","Text","taurine","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",88,"Property",78,"",NA,NA,"",NA,"Dose",NA,"Reported by Experimenter","Numeric","","","100","=","microgram","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",89,"Property",78,"",NA,NA,"",NA,"Exposure route of administration",NA,"Reported by Experimenter","Text","Intravenous","","","","","","","","","[]","[""10032""]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",90,"Instance",26,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.carbon.2007.03.035",91,"Medium",90,"",NA,NA,"",NA,"Class",NA,"Reported by Experimenter","Text","Mammal","","","","","","","","","[]","[""10032""]","[]",NA,NA
